id,topic,tone,target_audience,keywords_required,platform_hint,ref_event
1,프리셉터와 처음 만나는 날 마음가짐,공감형,신규RN,"프리셉터,태움,라운딩,신규RN",카드뉴스,간호사 국가시험 합격발표
2,나이트 3연속 버티는 신규의 멘탈 관리,공감형,신규RN,"나이트,번아웃,듀티표,3교대",카드뉴스,
3,투약 오류 막는 신규 체크 루틴,정보형,신규RN,"5R,SBAR,투약오류,아차사고",카드뉴스,환자안전주간
4,입사 첫 주에 외워야 할 약어 모음,정보형,신규RN,"OCS,EMR,RN,LPN",카드뉴스,
5,프리셉터 없는 날 멘붕 극복기,유머형,신규RN,"프리셉터,라운딩,인계,콜벨",카카오,
6,신규의 나만 못하나 흑역사 모음,유머형,신규RN,"프리셉터,태움,신규RN,번아웃",카카오,스승의날
7,국시 D-30 합격 루틴 함께 만들기,공감형,간호학생,"국시,합격,RN,나이팅게일 선서",카드뉴스,간호사 국가시험 합격발표
8,실습 첫날 병동에서 살아남기,공감형,간호학생,"실습,프리셉터,인계,바이탈",카드뉴스,
9,간호학생이 미리 알면 좋은 RN/LPN 차이,정보형,간호학생,"RN,LPN,면허,업무범위",카드뉴스,
10,임상 들어가기 전 SBAR 미리보기,정보형,간호학생,"SBAR,인계,실습,RN",카드뉴스,간호사 국가시험 합격발표
11,실습 나가서 듣는 웃픈 한마디 모음,유머형,간호학생,"실습,프리셉터,바이탈,라운딩",카카오,
12,국시 끝나고 우리가 하고 싶은 것들,유머형,간호학생,"국시,합격,RN,나이팅게일 선서,번아웃",카카오,간호사 국가시험 합격발표
13,3교대 10년차가 후배에게 전하는 위로,공감형,경력RN,"3교대,번아웃,프리셉터,태움",뉴스레터,
14,경력 단절 후 재취업 다시 시작하는 당신에게,공감형,경력RN,"재취업,이직,경력RN,면허",뉴스레터,
15,경력직 이직 전 꼭 보는 병동 체크리스트,정보형,경력RN,"이직,병동,인력기준,간호법",뉴스레터,간호법 시행
16,간호법 시행으로 달라지는 현장 포인트,정보형,경력RN,"간호법,업무범위,인력기준,처우개선",뉴스레터,간호법 시행
17,실습 나가서 듣는 웃픈 한마디 모음,유머형,경력RN,"프리셉터,태움,신규RN,라운딩",카카오,
18,경력RN의 라떼는 인계 잔혹사,유머형,경력RN,"인계,SBAR,3교대,경력RN",카카오,
